"年" "月" "零售总额"
"1" 2002 1 3596.1
"2" 2002 2 3324.4
"3" 2002 3 3114.8
"4" 2002 4 3052.2
"5" 2002 5 3202.1
"6" 2002 6 3158.8
"7" 2002 7 3096.6
"8" 2002 8 3143.7
"9" 2002 9 3422.4
"10" 2002 10 3661.9
"11" 2002 11 3733.1
"12" 2002 12 4404.4
"13" 2003 1 3907.4
"14" 2003 2 3706.4
"15" 2003 3 3494.8
"16" 2003 4 3406.9
"17" 2003 5 3463.3
"18" 2003 6 3576.9
"19" 2003 7 3562.1
"20" 2003 8 3609.6
"21" 2003 9 3971.8
"22" 2003 10 4204.4
"23" 2003 11 4202.7
"24" 2003 12 4735.7
"25" 2004 1 4569.4
"26" 2004 2 4211.4
"27" 2004 3 4049.8
"28" 2004 4 4001.8
"29" 2004 5 4166.1
"30" 2004 6 4250.7
"31" 2004 7 4209.2
"32" 2004 8 4262.7
"33" 2004 9 4717.7
"34" 2004 10 4983.2
"35" 2004 11 4965.6
"36" 2004 12 5562.5
"37" 2005 1 5300.9
"38" 2005 2 5012.2
"39" 2005 3 4799.1
"40" 2005 4 4663.3
"41" 2005 5 4899.2
"42" 2005 6 4935
"43" 2005 7 4934.9
"44" 2005 8 5040.8
"45" 2005 9 5495.2
"46" 2005 10 5846.6
"47" 2005 11 5909
"48" 2005 12 6850.4
"49" 2006 1 6641.6
"50" 2006 2 6001.9
"51" 2006 3 5796.7
"52" 2006 4 5774.6
"53" 2006 5 6175.6
"54" 2006 6 6057.8
"55" 2006 7 6012.2
"56" 2006 8 6077.4
"57" 2006 9 6553.6
"58" 2006 10 6997.7
"59" 2006 11 6821.7
"60" 2006 12 7499.2
"61" 2007 1 7488.3
"62" 2007 2 7013.7
"63" 2007 3 6685.8
"64" 2007 4 6672.5
"65" 2007 5 7157.5
"66" 2007 6 7026
"67" 2007 7 6998.2
"68" 2007 8 7116.6
"69" 2007 9 7668.4
"70" 2007 10 8263
"71" 2007 11 8104.7
"72" 2007 12 9015.3
