"年" "月" "零售总额"
"1" 2002 1 3596.1
"2" 2002 2 3324.4
"3" 2002 3 3114.8
"4" 2002 4 3052.2
"5" 2002 5 3202.1
"6" 2002 6 3158.8
"7" 2002 7 3096.6
"8" 2002 8 3143.7
"9" 2002 9 3422.4
"10" 2002 10 3661.9
"11" 2002 11 3733.1
"12" 2002 12 4404.4
"13" 2003 1 3907.4
"14" 2003 2 3706.4
"15" 2003 3 3494.8
"16" 2003 4 3406.9
"17" 2003 5 3463.3
"18" 2003 6 3576.9
"19" 2003 7 3562.1
"20" 2003 8 3609.6
"21" 2003 9 3971.8
"22" 2003 10 4204.4
"23" 2003 11 4202.7
"24" 2003 12 4735.7
"25" 2004 1 4569.4
"26" 2004 2 4211.4
"27" 2004 3 4049.8
"28" 2004 4 4001.8
"29" 2004 5 4166.1
"30" 2004 6 4250.7
"31" 2004 7 4209.2
"32" 2004 8 4262.7
"33" 2004 9 4717.7
"34" 2004 10 4983.2
"35" 2004 11 4965.6
"36" 2004 12 5562.5
"37" 2005 1 5300.9
"38" 2005 2 5012.2
"39" 2005 3 4799.1
"40" 2005 4 4663.3
"41" 2005 5 4899.2
"42" 2005 6 4935
"43" 2005 7 4934.9
"44" 2005 8 5040.8
"45" 2005 9 5495.2
"46" 2005 10 5846.6
"47" 2005 11 5909
"48" 2005 12 6850.4
"49" 2006 1 6641.6
"50" 2006 2 6001.9
"51" 2006 3 5796.7
"52" 2006 4 5774.6
"53" 2006 5 6175.6
"54" 2006 6 6057.8
"55" 2006 7 6012.2
"56" 2006 8 6077.4
"57" 2006 9 6553.6
"58" 2006 10 6997.7
"59" 2006 11 6821.7
"60" 2006 12 7499.2
"61" 2007 1 7488.3
"62" 2007 2 7013.7
"63" 2007 3 6685.8
"64" 2007 4 6672.5
"65" 2007 5 7157.5
"66" 2007 6 7026
"67" 2007 7 6998.2
"68" 2007 8 7116.6
"69" 2007 9 7668.4
"70" 2007 10 8263
"71" 2007 11 8104.7
"72" 2007 12 9015.3
"73" 2008 1 9077.3
"74" 2008 2 8354.7
"75" 2008 3 8123.2
"76" 2008 4 8142
"77" 2008 5 8703.5
"78" 2008 6 8642
"79" 2008 7 8628.8
"80" 2008 8 8767.7
"81" 2008 9 9446.5
"82" 2008 10 10082.7
"83" 2008 11 9790.8
"84" 2008 12 10728.5
"85" 2009 1 10756.6
"86" 2009 2 9323.8
"87" 2009 3 9317.6
"88" 2009 4 9343.2
"89" 2009 5 10028.4
"90" 2009 6 9941.6
"91" 2009 7 9936.5
"92" 2009 8 10115.6
"93" 2009 9 10912.8
"94" 2009 10 11717.6
"95" 2009 11 11717.6
"96" 2009 12 12610
"97" 2010 1 12718.1
"98" 2010 2 12334.2
"99" 2010 3 11321.7
"100" 2010 4 11510.4
"101" 2010 5 12455.1
"102" 2010 6 12329.9
"103" 2010 7 12252.8
"104" 2010 8 12569.8
"105" 2010 9 13536.5
"106" 2010 10 14284.8
"107" 2010 11 13910.9
"108" 2010 12 15329.5
"109" 2011 1 15249
"110" 2011 2 13769.1
"111" 2011 3 13588
"112" 2011 4 13649
"113" 2011 5 14696.8
"114" 2011 6 14565.1
"115" 2011 7 14408
"116" 2011 8 14705
"117" 2011 9 15865.1
"118" 2011 10 16546.4
"119" 2011 11 16128.9
"120" 2011 12 17739.7
"121" 2012 1 17479.9
"122" 2012 2 16188.7
"123" 2012 3 15650.2
"124" 2012 4 15603.1
"125" 2012 5 16714.8
"126" 2012 6 16584.9
"127" 2012 7 16314.9
"128" 2012 8 16658.9
"129" 2012 9 18226.6
"130" 2012 10 18933.8
"131" 2012 11 18476.7
"132" 2012 12 20334.2
"133" 2013 1 19629.9
"134" 2013 2 18179.9
"135" 2013 3 17641.2
"136" 2013 4 17600.3
"137" 2013 5 18886.3
"138" 2013 6 18826.7
"139" 2013 7 18513.2
"140" 2013 8 18886.2
"141" 2013 9 20653.3
"142" 2013 10 21491.3
"143" 2013 11 21011.9
"144" 2013 12 23059.7
"145" 2014 1 21951.1
"146" 2014 2 20329.6
"147" 2014 3 19800.6
"148" 2014 4 19701.2
"149" 2014 5 21249.8
"150" 2014 6 21166.4
"151" 2014 7 20775.8
"152" 2014 8 21133.9
"153" 2014 9 23042.4
"154" 2014 10 23967.2
"155" 2014 11 23474.7
"156" 2014 12 25801.3
"157" 2015 1 24916.5
"158" 2015 2 23076
"159" 2015 3 22722.8
"160" 2015 4 22386.7
"161" 2015 5 24194.8
"162" 2015 6 24280.3
"163" 2015 7 24338.8
"164" 2015 8 24893.4
"165" 2015 9 25270.6
"166" 2015 10 28278.9
"167" 2015 11 27937.3
"168" 2015 12 28635
