"œ˙ €∂Ó"
"1" 272
"2" 181
"3" 225
"4" 199
"5" 188
"6" 240
"7" 191
"8" 204
"9" 192
"10" 212
"11" 194
"12" 241
"13" 197
"14" 236
"15" 198
"16" 196
"17" 199
"18" 200
"19" 172
"20" 234
"21" 161
"22" 254
"23" 171
"24" 203
"25" 225
"26" 172
"27" 252
"28" 187
"29" 216
"30" 243
"31" 246
"32" 207
"33" 243
"34" 167
"35" 203
"36" 224
"37" 183
"38" 195
"39" 196
"40" 239
"41" 196
"42" 198
"43" 208
"44" 199
"45" 252
"46" 200
"47" 238
"48" 200
"49" 200
"50" 222
"51" 201
"52" 224
"53" 202
"54" 193
"55" 203
"56" 261
"57" 203
"58" 218
"59" 235
"60" 208
"61" 217
"62" 253
"63" 206
"64" 248
"65" 181
"66" 207
"67" 172
"68" 207
"69" 216
"70" 205
"71" 209
"72" 210
"73" 210
"74" 205
"75" 212
"76" 218
"77" 217
"78" 214
"79" 206
"80" 215
"81" 265
"82" 215
"83" 233
"84" 216
"85" 205
"86" 217
"87" 237
"88" 217
"89" 218
"90" 203
"91" 219
"92" 207
"93" 222
"94" 218
"95" 226
"96" 223
"97" 191
"98" 224
"99" 204
"100" 224
"101" 188
"102" 225
"103" 222
"104" 209
"105" 226
"106" 228
"107" 229
"108" 230
"109" 186
"110" 238
"111" 216
"112" 234
"113" 199
"114" 235
"115" 220
"116" 238
"117" 196
"118" 233
"119" 206
"120" 243
