"亚历山大.彼得里夫利" "拉尔夫.许曼" "克里斯蒂安.赖茨" "列昂尼德.叶基莫夫" "基思.桑德森" "罗曼.邦达鲁克"
"1" 10.1 8.4 9.9 8.8 9.7 9.8
"2" 8.4 9.6 10.7 10.7 10.5 9.2
"3" 10.3 10.2 9 9.7 9 10.3
"4" 10.2 10.8 10.5 9.6 9.6 7.2
"5" 10.4 10.5 10.3 10 9 9.9
"6" 9.6 10.3 10.6 10.2 9.9 10.5
"7" 10.1 9.8 10 10.1 9.2 10.4
"8" 10 10.9 7.9 10.2 9.7 10.9
"9" 9.9 10.3 10.7 9.4 9.9 10.5
"10" 10.2 10 10.4 10.3 8.1 10.3
"11" 10.8 9.5 9.5 10.4 9.3 10.2
"12" 10 10.2 9.9 9.8 10.1 10
"13" 10.3 10.7 10.1 8.9 10.5 9.8
"14" 10.5 10.1 9.9 10 10.2 9.2
"15" 9.6 10.3 10.3 10 10 8.3
"16" 9.8 9.7 9 9.1 9.9 9
"17" 10.4 9.3 9.8 9.5 9.5 9.4
"18" 10.3 10.3 10.8 9.8 9.7 9.8
"19" 9.1 10 10.3 10.7 9.9 10.4
"20" 10.2 9.6 10.7 10 9.9 9.6
