"id" "运动员" "射击环数"
"1" "1" "亚历山大.彼得里夫利" 10.1
"2" "2" "亚历山大.彼得里夫利" 8.4
"3" "3" "亚历山大.彼得里夫利" 10.3
"4" "4" "亚历山大.彼得里夫利" 10.2
"5" "5" "亚历山大.彼得里夫利" 10.4
"6" "6" "亚历山大.彼得里夫利" 9.6
"7" "7" "亚历山大.彼得里夫利" 10.1
"8" "8" "亚历山大.彼得里夫利" 10
"9" "9" "亚历山大.彼得里夫利" 9.9
"10" "10" "亚历山大.彼得里夫利" 10.2
"11" "11" "亚历山大.彼得里夫利" 10.8
"12" "12" "亚历山大.彼得里夫利" 10
"13" "13" "亚历山大.彼得里夫利" 10.3
"14" "14" "亚历山大.彼得里夫利" 10.5
"15" "15" "亚历山大.彼得里夫利" 9.6
"16" "16" "亚历山大.彼得里夫利" 9.8
"17" "17" "亚历山大.彼得里夫利" 10.4
"18" "18" "亚历山大.彼得里夫利" 10.3
"19" "19" "亚历山大.彼得里夫利" 9.1
"20" "20" "亚历山大.彼得里夫利" 10.2
"21" "1" "拉尔夫.许曼" 8.4
"22" "2" "拉尔夫.许曼" 9.6
"23" "3" "拉尔夫.许曼" 10.2
"24" "4" "拉尔夫.许曼" 10.8
"25" "5" "拉尔夫.许曼" 10.5
"26" "6" "拉尔夫.许曼" 10.3
"27" "7" "拉尔夫.许曼" 9.8
"28" "8" "拉尔夫.许曼" 10.9
"29" "9" "拉尔夫.许曼" 10.3
"30" "10" "拉尔夫.许曼" 10
"31" "11" "拉尔夫.许曼" 9.5
"32" "12" "拉尔夫.许曼" 10.2
"33" "13" "拉尔夫.许曼" 10.7
"34" "14" "拉尔夫.许曼" 10.1
"35" "15" "拉尔夫.许曼" 10.3
"36" "16" "拉尔夫.许曼" 9.7
"37" "17" "拉尔夫.许曼" 9.3
"38" "18" "拉尔夫.许曼" 10.3
"39" "19" "拉尔夫.许曼" 10
"40" "20" "拉尔夫.许曼" 9.6
"41" "1" "克里斯蒂安.赖茨" 9.9
"42" "2" "克里斯蒂安.赖茨" 10.7
"43" "3" "克里斯蒂安.赖茨" 9
"44" "4" "克里斯蒂安.赖茨" 10.5
"45" "5" "克里斯蒂安.赖茨" 10.3
"46" "6" "克里斯蒂安.赖茨" 10.6
"47" "7" "克里斯蒂安.赖茨" 10
"48" "8" "克里斯蒂安.赖茨" 7.9
"49" "9" "克里斯蒂安.赖茨" 10.7
"50" "10" "克里斯蒂安.赖茨" 10.4
"51" "11" "克里斯蒂安.赖茨" 9.5
"52" "12" "克里斯蒂安.赖茨" 9.9
"53" "13" "克里斯蒂安.赖茨" 10.1
"54" "14" "克里斯蒂安.赖茨" 9.9
"55" "15" "克里斯蒂安.赖茨" 10.3
"56" "16" "克里斯蒂安.赖茨" 9
"57" "17" "克里斯蒂安.赖茨" 9.8
"58" "18" "克里斯蒂安.赖茨" 10.8
"59" "19" "克里斯蒂安.赖茨" 10.3
"60" "20" "克里斯蒂安.赖茨" 10.7
"61" "1" "列昂尼德.叶基莫夫" 8.8
"62" "2" "列昂尼德.叶基莫夫" 10.7
"63" "3" "列昂尼德.叶基莫夫" 9.7
"64" "4" "列昂尼德.叶基莫夫" 9.6
"65" "5" "列昂尼德.叶基莫夫" 10
"66" "6" "列昂尼德.叶基莫夫" 10.2
