"性别" "家庭所在地" "月生活费支出"
"1" "女" "中小城市" 1500
"2" "男" "大型城市" 2000
"3" "男" "大型城市" 1800
"4" "女" "中小城市" 1600
"5" "女" "中小城市" 2000
"6" "女" "大型城市" 2100
"7" "男" "大型城市" 1100
"8" "男" "大型城市" 1780
"9" "女" "中小城市" 1550
"10" "女" "乡镇地区" 1300
"11" "男" "大型城市" 2000
"12" "男" "大型城市" 1700
"13" "女" "中小城市" 1400
"14" "女" "大型城市" 1500
"15" "男" "大型城市" 1400
"16" "男" "大型城市" 1480
"17" "女" "中小城市" 2350
"18" "女" "中小城市" 1450
"19" "男" "大型城市" 1500
"20" "男" "大型城市" 1760
"21" "男" "中小城市" 1300
"22" "男" "中小城市" 1600
"23" "女" "中小城市" 1680
"24" "男" "中小城市" 1850
"25" "男" "乡镇地区" 1500
"26" "女" "中小城市" 1600
"27" "男" "大型城市" 1300
"28" "女" "大型城市" 1800
"29" "女" "大型城市" 1550
"30" "男" "中小城市" 1350
"31" "女" "乡镇地区" 1850
"32" "女" "乡镇地区" 2000
"33" "女" "中小城市" 1700
"34" "女" "大型城市" 1800
"35" "男" "中小城市" 1860
"36" "男" "乡镇地区" 1950
"37" "女" "中小城市" 1900
"38" "男" "中小城市" 2000
"39" "女" "乡镇地区" 1870
"40" "女" "中小城市" 1900
"41" "女" "大型城市" 2400
"42" "女" "大型城市" 2000
"43" "女" "中小城市" 2360
"44" "女" "中小城市" 2050
"45" "女" "大型城市" 2200
"46" "男" "大型城市" 2000
"47" "女" "中小城市" 1750
"48" "女" "中小城市" 2250
"49" "女" "大型城市" 2800
"50" "女" "大型城市" 1900
"51" "男" "大型城市" 2000
"52" "男" "乡镇地区" 1900
"53" "女" "中小城市" 2200
"54" "女" "乡镇地区" 1800
"55" "女" "乡镇地区" 1900
"56" "男" "乡镇地区" 1500
"57" "男" "大型城市" 2000
"58" "男" "大型城市" 1900
"59" "女" "大型城市" 2300
"60" "女" "中小城市" 1900
