"男性工资" "女性工资"
"1" 7919 5474
"2" 7556 6475
"3" 7890 5744
"4" 8219 6028
"5" 8778 6420
"6" 8277 5654
"7" 8753 6293
"8" 8201 5719
"9" 8867 6610
"10" 7108 6349
"11" 7444 5433
"12" 8497 6281
"13" 7752 6053
"14" 8472 5967
"15" 7771 6023
"16" 7034 5551
"17" 8321 6611
"18" 7644 5883
"19" 7513 5700
"20" 7564 6890
"21" 8073 5815
"22" 8242 6255
"23" 9122 6761
"24" 8073 6268
"25" 8130 5173
"26" 8434 6088
"27" 7858 6373
"28" 7834 5816
"29" 8113 5851
"30" 7919 6008
"31" 7549 6295
"32" 7809 5895
"33" 8147 5628
"34" 8312 5892
"35" 7696 6127
"36" 7734 6508
"37" 8062 6090
"38" 8778 5829
"39" 7855 6016
"40" 9204 5909
