"行业" "性别" "满意度"
"1" "金融业" "女" "满意"
"2" "航空业" "女" "满意"
"3" "电信业" "男" "不满意"
"4" "金融业" "女" "满意"
"5" "航空业" "男" "不满意"
"6" "电信业" "女" "满意"
"7" "金融业" "女" "不满意"
"8" "金融业" "男" "满意"
"9" "旅游业" "女" "不满意"
"10" "金融业" "男" "不满意"
"11" "电信业" "男" "满意"
"12" "航空业" "男" "满意"
"13" "航空业" "男" "不满意"
"14" "金融业" "男" "满意"
"15" "航空业" "女" "满意"
"16" "旅游业" "女" "不满意"
"17" "航空业" "男" "满意"
"18" "金融业" "女" "满意"
"19" "旅游业" "女" "不满意"
"20" "电信业" "女" "不满意"
"21" "电信业" "女" "不满意"
"22" "旅游业" "男" "满意"
"23" "电信业" "男" "不满意"
"24" "旅游业" "男" "不满意"
"25" "电信业" "男" "不满意"
"26" "金融业" "男" "不满意"
"27" "金融业" "男" "满意"
"28" "航空业" "女" "不满意"
"29" "旅游业" "女" "不满意"
"30" "电信业" "男" "满意"
"31" "航空业" "男" "不满意"
"32" "电信业" "女" "不满意"
"33" "航空业" "女" "不满意"
"34" "金融业" "男" "满意"
"35" "航空业" "男" "不满意"
"36" "电信业" "女" "不满意"
"37" "航空业" "女" "满意"
"38" "电信业" "男" "不满意"
"39" "金融业" "男" "不满意"
"40" "旅游业" "女" "不满意"
"41" "旅游业" "男" "不满意"
"42" "旅游业" "男" "满意"
"43" "金融业" "女" "不满意"
"44" "旅游业" "男" "不满意"
"45" "电信业" "女" "不满意"
"46" "旅游业" "女" "不满意"
"47" "电信业" "男" "不满意"
"48" "旅游业" "女" "满意"
"49" "旅游业" "男" "不满意"
"50" "旅游业" "男" "满意"
"51" "电信业" "男" "不满意"
"52" "旅游业" "女" "不满意"
"53" "金融业" "女" "满意"
"54" "旅游业" "男" "不满意"
"55" "旅游业" "女" "不满意"
"56" "金融业" "女" "满意"
"57" "旅游业" "女" "满意"
"58" "电信业" "女" "不满意"
"59" "金融业" "男" "满意"
"60" "旅游业" "女" "不满意"
"61" "电信业" "男" "不满意"
"62" "旅游业" "女" "满意"
"63" "电信业" "女" "不满意"
"64" "航空业" "女" "不满意"
"65" "旅游业" "男" "不满意"
"66" "旅游业" "女" "满意"
"67" "电信业" "女" "不满意"
"68" "旅游业" "男" "满意"
"69" "航空业" "女" "不满意"
"70" "电信业" "女" "不满意"
"71" "旅游业" "女" "不满意"
"72" "电信业" "女" "满意"
"73" "电信业" "男" "不满意"
"74" "航空业" "女" "满意"
"75" "航空业" "男" "不满意"
"76" "金融业" "女" "不满意"
"77" "电信业" "男" "满意"
"78" "电信业" "男" "满意"
"79" "航空业" "男" "不满意"
"80" "金融业" "女" "满意"
"81" "航空业" "女" "不满意"
"82" "金融业" "女" "满意"
"83" "旅游业" "女" "不满意"
"84" "电信业" "男" "不满意"
"85" "电信业" "男" "满意"
"86" "金融业" "女" "满意"
"87" "旅游业" "女" "不满意"
"88" "电信业" "女" "不满意"
"89" "旅游业" "男" "满意"
"90" "金融业" "男" "不满意"
"91" "电信业" "女" "不满意"
"92" "旅游业" "女" "不满意"
"93" "金融业" "男" "满意"
"94" "旅游业" "男" "不满意"
"95" "电信业" "女" "不满意"
"96" "电信业" "女" "满意"
"97" "旅游业" "男" "不满意"
"98" "旅游业" "男" "不满意"
"99" "金融业" "女" "不满意"
"100" "电信业" "女" "满意"
"101" "电信业" "男" "不满意"
"102" "旅游业" "男" "不满意"
"103" "航空业" "男" "满意"
"104" "电信业" "男" "不满意"
"105" "旅游业" "女" "不满意"
"106" "电信业" "男" "满意"
"107" "金融业" "男" "满意"
"108" "电信业" "女" "不满意"
"109" "航空业" "男" "不满意"
"110" "电信业" "女" "满意"
"111" "旅游业" "女" "不满意"
"112" "金融业" "男" "不满意"
"113" "电信业" "女" "满意"
"114" "电信业" "女" "满意"
"115" "金融业" "男" "不满意"
"116" "旅游业" "女" "不满意"
"117" "旅游业" "男" "满意"
"118" "金融业" "男" "不满意"
"119" "电信业" "女" "不满意"
"120" "旅游业" "男" "不满意"
