"月份" "北京" "沈阳" "上海" "南昌" "郑州" "武汉" "广州" "海口" "重庆" "昆明"
"1" "1月" -1.9 -12.7 5.7 6.6 0.3 4.2 15.8 18.5 7.8 10.8
"2" "2月" -0.9 -8.1 5.6 6.5 3.9 5.8 17.3 20.5 9 13.2
"3" "3月" 8 0.5 11.1 12.7 11.5 12.8 17.9 21.8 13.3 15.9
"4" "4月" 13.5 8 16.6 19.3 17.1 19 23.6 26.7 19.2 18
"5" "5月" 20.4 18.3 20.8 22.7 21.8 23.9 25.3 28.3 22.9 18
"6" "6月" 25.9 21.6 25.6 26 27.8 28.4 27.8 29.4 25.4 20.4
"7" "7月" 25.9 24.2 29.4 30 27.1 30.2 29.8 30 31 21.3
"8" "8月" 26.4 24.3 30.2 30 26.1 29.7 29.4 28.5 32.4 20.6
"9" "9月" 21.8 17.5 23.9 24.3 21.2 24 27 27.4 24.8 18.3
"10" "10月" 16.1 11.6 22.1 22.1 19 21 26.4 27.1 20.6 16.9
"11" "11月" 6.7 0.8 15.7 15 10.8 14 21.9 25.3 14.6 13.2
"12" "12月" -1 -6.7 8.2 8.1 3 6.8 16 20.8 9.4 9.8
