"地区" "地区生产总值" "固定资产投资" "最终消费支出"
"1" "北 京" 16251.9 5578.9 9488.2
"2" "天 津" 11307.3 7067.7 4286.3
"3" "河 北" 24515.8 16389.3 9633.8
"4" "山 西" 11237.6 7073.1 4868.1
"5" "内蒙古" 14359.9 10365.2 5526.6
"6" "辽 宁" 22226.7 17726.3 8867.2
"7" "吉 林" 10568.8 7441.7 4423.7
"8" "黑龙江" 12582 7475.4 6586.7
"9" "上 海" 19195.7 4962.1 10821.2
"10" "江 苏" 49110.3 26692.6 20649.3
"11" "浙 江" 32318.9 14185.3 15042
"12" "安 徽" 15300.7 12455.7 7604.3
"13" "福 建" 17560.2 9910.9 7300.5
"14" "江 西" 11702.8 9087.6 5593.9
"15" "山 东" 45361.9 26749.7 18095.4
"16" "河 南" 26931 17769 11783.1
"17" "湖 北" 19632.3 12557.3 8931.5
"18" "湖 南" 19669.6 11880.9 9088.7
"19" "广 东" 53210.3 17069.2 26074.8
"20" "广 西" 11720.9 7990.7 5601.6
"21" "海 南" 2522.7 1657.2 1180
"22" "重 庆" 10011.4 7473.4 4641.6
"23" "四 川" 21026.7 14222.2 10424.4
"24" "贵 州" 5701.8 4235.9 3438.7
"25" "云 南" 8893.1 6191 5273.6
"26" "西 藏" 605.8 516.3 373.4
"27" "陕 西" 12512.3 9431.1 5573.3
"28" "甘 肃" 5020.4 3965.8 2967
"29" "青 海" 1670.4 1435.6 859.8
"30" "宁 夏" 2102.2 1644.7 1020.2
"31" "新 疆" 6610.1 4632.1 3518.8
