"地区" "居民消费水平" "人均GDP"
"1" "北京市" 33337 94648
"2" "天津市" 26261 100105
"3" "河北省" 11557 38909
"4" "山西省" 12078 34984
"5" "内蒙古自治区" 17168 67836
"6" "辽宁省" 20156 61996
"7" "吉林省" 13676 47428
"8" "黑龙江省" 12978 37697
"9" "上海市" 39223 90993
"10" "江苏省" 23585 75354
"11" "浙江省" 24771 68805
"12" "安徽省" 11618 32001
"13" "福建省" 17115 58145
"14" "江西省" 11910 31930
"15" "山东省" 16728 56885
"16" "河南省" 11782 34211
"17" "湖北省" 13912 42826
"18" "湖南省" 12920 36943
"19" "广东省" 23739 58833
"20" "广西壮族自治区" 11710 30741
"21" "海南省" 11712 35663
"22" "重庆市" 15270 43223
"23" "四川省" 12485 32617
"24" "贵州省" 9541 23151
"25" "云南省" 11224 25322
"26" "西藏自治区" 6275 26326
"27" "陕西省" 13206 43117
"28" "甘肃省" 9616 24539
"29" "青海省" 12070 36875
"30" "宁夏回族自治区" 13537 39613
"31" "新疆维吾尔自治区" 11401 37553
